id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
464384,Family Home away from Home in Wpg,955449,Silvio,,Fort Rouge - East Fort Garry,49.867,-97.14128,Entire home/apt,41,5,94,2022-08-12,0.75,1,364,4,
1526583,Cozy and friendly home!,8145510,Ruth,,River Heights - Fort Garry,49.85975,-97.15524,Private room,32,3,32,2022-06-13,0.64,5,348,4,
1559076,Executive Penthouse Condo,970192,Colleen,,Charleswood - Tuxedo - Westwood,49.86701,-97.20933,Entire home/apt,90,28,23,2022-03-15,0.21,1,168,1,
1664166,Contemporary 5 bedroom in St. Vital,8288997,Richard,,St. Vital,49.86651,-97.11247,Entire home/apt,200,2,122,2022-12-01,1.17,1,350,31,
3664955,Heart of the City: Osborne Village,18581972,Ryan,,Fort Rouge - East Fort Garry,49.87897,-97.1437,Entire home/apt,100,5,122,2022-11-18,1.2,6,175,13,
3665425,Luxury Flat in Osborne Village,18581972,Ryan,,Fort Rouge - East Fort Garry,49.88066,-97.14534,Entire home/apt,111,5,9,2022-11-28,0.1,6,72,5,
4574645,Attractive interior and exterior home on creek,23470058,K,,North Kildonan,49.95439,-97.0615,Private room,60,3,47,2022-07-11,0.51,4,83,3,
5395880,North Kildonan Cozy home on Bunn's Creek,23470058,K,,North Kildonan,49.95419,-97.06136,Entire home/apt,150,4,15,2020-08-18,0.17,4,75,0,
5414941,Wolseley Artist retreat,132690,Julie,,Daniel McIntyre,49.88251,-97.16581,Private room,47,1,114,2020-02-23,1.21,1,320,0,
5420833,Basement Suite with Beautiful Private Bathroom,71184,Hiroshi & Naomi,,Elmwood - East Kildonan,49.90859,-97.07016,Private room,54,1,125,2022-09-07,1.37,1,110,9,
5481436,"Bright Spacious Room w/ 40"" TV, etc",22544786,Gina,,St. Norbert - Seine River,49.80109,-97.09337,Private room,65,3,0,,,1,249,0,
5661033,Home Comforts At It's Best,29340507,Dianne,,Elmwood - East Kildonan,49.92023,-97.05532,Shared room,140,4,11,2018-05-12,0.12,1,319,0,
6013819,"On River, 10 min downtown & Arena, 20 min Stadium",31217093,Barry,,St. Vital,49.85685,-97.12227,Entire home/apt,220,4,5,2017-08-12,0.05,1,365,0,
6032417,"Quaint older home, room or house.",13645808,Ken,,Elmwood - East Kildonan,49.91605,-97.12208,Entire home/apt,100,2,43,2017-08-04,0.46,1,349,0,
6170275,5bdr Family Home in River Heights,31823352,Christene,,River Heights - Fort Garry,49.87337,-97.18107,Entire home/apt,391,7,16,2021-08-29,0.23,1,234,0,
6262372,The Suite: Private Room + Kitchenette,31620704,Jill & Noreen,,Daniel McIntyre,49.8831,-97.16491,Private room,55,1,169,2022-11-27,1.85,3,336,33,
6349369,Sweet 1 street veiw Incl. Cable and WIFI,33077287,Sergio,,Elmwood - East Kildonan,49.92575,-97.09594,Entire home/apt,69,2,79,2022-10-23,0.85,2,289,14,
6350400,Sunshine Sweet - Inc. Cable and WIFI,33077287,Sergio,,Elmwood - East Kildonan,49.92575,-97.09594,Entire home/apt,62,3,79,2022-09-06,0.97,2,263,9,
6425184,"Studio close to Forks, Museum, Downtown & Park",7608280,Gavin,,St. Boniface,49.89695,-97.12774,Entire home/apt,95,10,5,2022-06-18,0.3,2,362,4,
6465000,FURNISHED EXECUTIVE 1-BR CONDO Fully ready for you,33766481,Nicole,,St. Boniface,49.89515,-97.12559,Entire home/apt,95,30,152,2019-01-03,1.65,1,259,0,
6503691,Serene getaway,32130915,Natalie,,St. Vital,49.82714,-97.07303,Private room,80,1,0,,,1,365,0,
6504088,Main fl bdrm with queen bed North K Bunn's creek,23470058,K,,North Kildonan,49.95392,-97.06138,Private room,45,1,33,2022-10-13,0.4,4,364,3,
6577123,Clean & comfortable furnished downtown condo,31253536,Brett,,Fort Rouge - East Fort Garry,49.88487,-97.14247,Entire home/apt,134,7,15,2022-08-05,0.16,1,135,3,
6600452,"Comfy, Private, 2 Bdrm Suite
BEST location in city",34530369,Lori,,River Heights - Fort Garry,49.87475,-97.1905,Entire home/apt,80,2,249,2022-11-28,2.72,1,360,44,
6672097,Wolseley Home,34920691,Ryan And Lynsey ( Mostly Lynsey ),,Daniel McIntyre,49.88134,-97.18165,Entire home/apt,250,5,33,2022-08-20,0.36,1,290,2,
6729013,1 bedroom in a spacious house,28431458,David,,Fort Rouge - East Fort Garry,49.88492,-97.15413,Private room,125,1,6,2017-04-09,0.07,1,365,0,
6821819,Urban Loft 1BR - Exchange District,35601029,Stephanie,,Point Douglas,49.89924,-97.1332,Entire home/apt,79,5,165,2022-11-27,1.83,2,79,12,
6850453,"Central, Loft-Style Sweet Suite!",7914034,Sophie,,St. Boniface,49.87738,-97.10605,Entire home/apt,71,2,232,2022-10-30,2.62,1,64,11,
6958427,Private Suite in Central Wolseley neighbourhood,20374475,Alison,,Daniel McIntyre,49.88274,-97.16881,Entire home/apt,96,2,77,2020-01-19,1.1,1,133,0,
7403049,Old World Charm Room2,38791285,Rose,,River Heights - Fort Garry,49.86423,-97.1776,Private room,45,14,19,2022-12-03,0.21,3,212,2,
7514508,Upper Level Osborne Village Loft,32762708,Elynore,,Fort Rouge - East Fort Garry,49.87766,-97.13992,Entire home/apt,110,4,16,2020-07-31,0.18,2,231,0,
7556469,Private Basement Suite & Bathroom,19068812,Ashley,,Mynarski,49.92208,-97.11441,Entire home/apt,66,1,684,2022-11-15,7.63,1,3,59,
7916359,"Escape the chaos, stunning green space",23470058,K,,St. Vital,49.86142,-97.09816,Entire home/apt,163,4,57,2022-11-25,1.16,4,49,16,
8098097,Peaceful nights sleep in my home! Superhost!,42762931,Debbie,,Elmwood - East Kildonan,49.91718,-97.10462,Private room,35,4,25,2019-10-16,0.29,2,329,0,
8703847,Cozy room in home close to downtown,45690657,Annabel,,River Heights - Fort Garry,49.87142,-97.16346,Private room,45,4,23,2022-11-16,0.27,1,38,4,
8722108,Lovely family home in the prairies,45777946,Camelia,,River Heights - Fort Garry,49.83736,-97.19916,Private room,92,1,6,2022-07-31,0.07,2,351,1,
8736262,Comfy Lower Level Suite in Sunny South St. Vital,44955677,Wendy,,St. Norbert - Seine River,49.81755,-97.10481,Entire home/apt,71,2,57,2022-11-30,0.66,1,157,14,
8848038,"Good charming, cozy spacious  home.",46180149,Nkemuhuruanya (Regina),,Elmwood - East Kildonan,49.91204,-97.09019,Private room,48,3,22,2022-08-31,0.29,3,349,8,
8868539,High In the Sky - Luxury unit w/ breathtaking view,46420675,Aaron,,Fort Rouge - East Fort Garry,49.88647,-97.1364,Entire home/apt,108,3,5,2022-11-21,1.5,1,88,5,
8885819,Comfortable and relaxed home.,46180149,Nkemuhuruanya (Regina),,Elmwood - East Kildonan,49.90972,-97.09181,Private room,30,2,16,2022-11-28,0.39,3,347,10,
9171210,Friendly Manitoba,45777946,Camelia,,River Heights - Fort Garry,49.83712,-97.19954,Private room,97,1,6,2019-12-06,0.08,2,353,0,
9229642,Sunny & Central Loft with Parking!,4997811,Rebecca,,Fort Rouge - East Fort Garry,49.88423,-97.1546,Entire home/apt,75,3,140,2022-08-13,1.62,3,365,9,
9632927,Delightful home away from home,49126625,Krista,,St. Boniface,49.87222,-97.08576,Entire home/apt,110,2,97,2020-09-30,1.15,1,112,0,
9820672,Brand-New Osborne Apartment,32762708,Elynore,,Fort Rouge - East Fort Garry,49.87952,-97.14131,Entire home/apt,110,2,19,2022-11-01,0.22,2,318,2,
10495242,Best Location in WPG,17190273,Leroy,,Fort Rouge - East Fort Garry,49.86804,-97.1542,Private room,77,4,0,,,1,177,0,
10862820,Urban Loft Studio Exchange District,35601029,Stephanie,,Point Douglas,49.89764,-97.13517,Entire home/apt,79,5,150,2022-10-31,1.83,2,60,16,
11533848,☀️ Comfortable 2 Bedroom Home in Sargent Park ☀️,48915087,Nelson,,Daniel McIntyre,49.89346,-97.18217,Entire home/apt,110,45,74,2022-10-07,0.9,1,0,16,
